image_id,image_path,num_gt,num_pred,num_tp,num_fp,num_fn
1,./corrupted_test_sets/test_rotation_mild/page_0026.jpeg,2,33,2,31,0
2,./corrupted_test_sets/test_rotation_mild/page_0027.jpeg,2,33,2,31,0
3,./corrupted_test_sets/test_rotation_mild/page_0029.jpeg,3,48,3,45,0
4,./corrupted_test_sets/test_rotation_mild/page_0030.jpeg,2,31,2,29,0
5,./corrupted_test_sets/test_rotation_mild/page_0031.jpeg,2,31,2,29,0
6,./corrupted_test_sets/test_rotation_mild/page_0033.jpeg,2,32,2,30,0
7,./corrupted_test_sets/test_rotation_mild/page_0041.jpeg,2,31,2,29,0
8,./corrupted_test_sets/test_rotation_mild/page_0042.jpeg,2,31,2,29,0
9,./corrupted_test_sets/test_rotation_mild/page_0045.jpeg,2,36,2,34,0
10,./corrupted_test_sets/test_rotation_mild/page_0047.jpeg,2,33,2,31,0
11,./corrupted_test_sets/test_rotation_mild/page_0053.jpeg,0,9,0,9,0
12,./corrupted_test_sets/test_rotation_mild/page_0055.jpeg,0,1,0,1,0
13,./corrupted_test_sets/test_rotation_mild/page_0095.jpeg,2,31,2,29,0
14,./corrupted_test_sets/test_rotation_mild/page_0110.jpeg,1,17,1,16,0
15,./corrupted_test_sets/test_rotation_mild/page_0133.jpeg,1,18,1,17,0
16,./corrupted_test_sets/test_rotation_mild/page_0142.jpeg,3,55,3,52,0
17,./corrupted_test_sets/test_rotation_mild/page_0161.jpeg,1,16,1,15,0
18,./corrupted_test_sets/test_rotation_mild/page_0167.jpeg,1,15,1,14,0
19,./corrupted_test_sets/test_rotation_mild/page_0182.jpeg,2,30,2,28,0
20,./corrupted_test_sets/test_rotation_mild/page_0183.jpeg,1,16,1,15,0
21,./corrupted_test_sets/test_rotation_mild/page_0202.jpeg,2,33,2,31,0
22,./corrupted_test_sets/test_rotation_mild/page_0205.jpeg,2,33,2,31,0
23,./corrupted_test_sets/test_rotation_mild/page_0211.jpeg,2,31,2,29,0
24,./corrupted_test_sets/test_rotation_mild/page_0215.jpeg,2,32,2,30,0
25,./corrupted_test_sets/test_rotation_mild/page_0217.jpeg,2,33,2,31,0
26,./corrupted_test_sets/test_rotation_mild/page_0233.jpeg,1,18,1,17,0
27,./corrupted_test_sets/test_rotation_mild/page_0237.jpeg,1,41,1,40,0
28,./corrupted_test_sets/test_rotation_mild/page_0241.jpeg,2,37,2,35,0
29,./corrupted_test_sets/test_rotation_mild/page_0247.jpeg,2,24,2,22,0
30,./corrupted_test_sets/test_rotation_mild/page_0249.jpeg,2,36,2,34,0
31,./corrupted_test_sets/test_rotation_mild/page_0251.jpeg,0,15,0,15,0
32,./corrupted_test_sets/test_rotation_mild/page_0257.jpeg,2,38,2,36,0
33,./corrupted_test_sets/test_rotation_mild/page_0259.jpeg,2,26,2,24,0
34,./corrupted_test_sets/test_rotation_mild/page_0263.jpeg,0,0,0,0,0
35,./corrupted_test_sets/test_rotation_mild/page_0267.jpeg,0,1,0,1,0
36,./corrupted_test_sets/test_rotation_mild/page_0277.jpeg,1,27,1,26,0
37,./corrupted_test_sets/test_rotation_mild/page_0283.jpeg,1,20,1,19,0
38,./corrupted_test_sets/test_rotation_mild/page_0291.jpeg,1,27,1,26,0
39,./corrupted_test_sets/test_rotation_mild/page_0293.jpeg,2,47,2,45,0
40,./corrupted_test_sets/test_rotation_mild/page_0301.jpeg,1,34,1,33,0
41,./corrupted_test_sets/test_rotation_mild/page_0307.jpeg,1,16,1,15,0
42,./corrupted_test_sets/test_rotation_mild/page_0317.jpeg,1,23,1,22,0
43,./corrupted_test_sets/test_rotation_mild/page_0319.jpeg,1,18,1,17,0
44,./corrupted_test_sets/test_rotation_mild/page_0321.jpeg,2,56,2,54,0
45,./corrupted_test_sets/test_rotation_mild/page_0327.jpeg,2,37,2,35,0
46,./corrupted_test_sets/test_rotation_mild/page_0329.jpeg,2,49,2,47,0
47,./corrupted_test_sets/test_rotation_mild/page_0333.jpeg,1,30,1,29,0
48,./corrupted_test_sets/test_rotation_mild/page_0337.jpeg,0,0,0,0,0
49,./corrupted_test_sets/test_rotation_mild/page_0339.jpeg,0,7,0,7,0
50,./corrupted_test_sets/test_rotation_mild/page_0341.jpeg,0,18,0,18,0
